case_id,block_id,family,tier,unique_answers,correct_support,correct_support_rate,plurality_support,pooled_plurality_exact,oracle_exact,pooled_term_score
R025,research-b03,AFFINE,stress,15,14,0.4666666666666667,14,True,True,5
R026,research-b03,PDELTA,hard,4,14,0.4666666666666667,14,True,True,5
R027,research-b03,AFFINE,very-hard,12,17,0.5666666666666667,17,True,True,5
R028,research-b03,POLY,stress,27,3,0.1,3,True,True,5
R029,research-b03,LIN2,hard,30,0,0.0,1,False,False,2
R030,research-b03,PDELTA,stress,29,0,0.0,2,False,False,0
R031,research-b03,PDELTA,very-hard,25,6,0.2,6,True,True,5
R032,research-b03,AFFINE,hard,2,29,0.9666666666666667,29,True,True,5
R033,research-b03,LIN2,stress,3,2,0.06666666666666667,26,False,True,1
R034,research-b03,LIN2,very-hard,21,6,0.2,6,True,True,5
R035,research-b03,POLY,very-hard,16,15,0.5,15,True,True,5
R036,research-b03,POLY,hard,3,28,0.9333333333333333,28,True,True,5
R037,research-b04,LAGPOLY,stress,30,0,0.0,1,False,False,0
R038,research-b04,INTERLEAVE,stress,28,0,0.0,2,False,False,0
R039,research-b04,LAGPOLY,very-hard,30,0,0.0,1,False,False,0
R040,research-b04,MODAFFINE,very-hard,30,0,0.0,1,False,False,0
R041,research-b04,GROWBLOCK,hard,19,2,0.06666666666666667,8,False,True,3
R042,research-b04,MODAFFINE,stress,30,0,0.0,1,False,False,0
R043,research-b04,INTERLEAVE,hard,24,4,0.13333333333333333,4,True,True,5
R044,research-b04,GROWBLOCK,stress,10,1,0.03333333333333333,15,False,True,0
R045,research-b04,LAGPOLY,hard,6,25,0.8333333333333334,25,True,True,5
R046,research-b04,GROWBLOCK,very-hard,1,0,0.0,30,False,False,1
R047,research-b04,MODAFFINE,hard,28,0,0.0,2,False,False,0
R048,research-b04,INTERLEAVE,very-hard,28,0,0.0,3,False,False,0
